,id1,id2
0,0,294
1,0,4859
2,0,5233
3,0,5411
4,0,6826
5,0,7522
6,1,4430
7,1,4431
8,1,4784
9,1,6604
10,1,6995
11,1,8072
12,2,2141
13,2,3190
14,2,7788
15,3,4124
16,3,5132
17,3,5380
18,3,5401
19,3,6175
20,4,1968
21,4,3840
22,4,5771
23,4,7160
24,4,8165
25,5,1354
26,6,542
27,6,663
28,6,843
29,6,7108
30,7,511
31,7,2207
32,7,2378
33,7,3160
34,7,3682
35,8,465
36,8,888
37,8,944
38,8,959
39,8,1296
40,8,1374
41,8,1766
42,8,1952
43,8,2243
44,8,2625
45,8,2687
46,8,3482
47,8,4412
48,8,5645
49,8,5647
50,8,5730
51,8,6114
52,8,6166
53,8,6321
54,8,6545
55,8,6650
56,8,6870
57,8,7630
58,8,7884
59,8,7938
60,8,8422
61,8,8701
62,8,8733
63,8,8843
64,9,2182
65,9,2895
66,9,2965
67,9,2972
68,9,3969
69,9,3997
70,9,4766
71,9,4909
72,9,6034
73,9,6771
74,10,2007
75,10,4160
76,10,5875
77,11,337
78,11,2911
79,11,3484
80,11,3701
81,11,5176
82,12,138
83,12,362
84,12,769
85,12,3429
86,12,4083
87,12,4857
88,12,7437
89,13,1580
90,13,1581
91,13,2847
92,13,8380
93,14,1185
94,14,3719
95,14,7544
96,14,7911
97,14,8648
98,15,499
99,15,1106
100,15,2681
101,15,3158
102,15,6224
103,15,6950
104,16,3928
105,16,7420
106,16,7789
107,17,43
108,17,4576
109,17,8549
110,17,9223
111,18,887
112,18,2111
113,18,3940
114,18,6933
115,18,8629
116,19,2599
117,19,3229
118,19,3858
119,19,4358
120,19,5578
121,19,5991
122,19,6005
123,20,177
124,21,533
125,21,2227
126,21,3069
127,21,5593
128,21,8808
129,22,736
130,22,737
131,22,913
132,22,1023
133,22,1747
134,22,1748
135,22,1749
136,22,2049
137,22,5945
138,22,8080
139,22,8409
140,22,9060
141,23,2520
142,23,5088
143,23,5669
144,23,8030
145,24,25
146,24,4440
147,24,9250
148,24,9293
149,24,9294
150,25,4440
151,25,9250
152,25,9293
153,25,9294
154,26,423
155,26,1398
156,26,3553
157,26,3629
158,27,2711
159,27,3331
160,27,5437
161,27,6268
162,27,6696
163,27,7494
164,27,8652
165,27,8682
166,27,8984
167,28,804
168,28,1427
169,28,1931
170,28,2909
171,28,3418
172,28,3674
173,28,3857
174,28,4386
175,28,4572
176,28,5253
177,28,6655
178,28,7270
179,28,7432
180,28,7475
181,28,7528
182,28,7964
183,29,2310
184,29,2721
185,29,2843
186,29,3164
187,29,3521
188,29,3960
189,29,6611
190,29,8625
191,29,9078
192,30,2794
193,30,4468
194,30,4847
195,30,6507
196,31,990
197,31,6163
198,31,7036
199,31,7467
200,31,7891
201,32,6039
202,33,506
203,33,1506
204,33,5100
205,33,6316
206,33,7546
207,34,1033
208,34,3173
209,34,3742
210,35,465
211,35,1296
212,35,1766
213,35,2687
214,35,2861
215,35,7813
216,36,71
217,36,666
218,36,799
219,36,9035
220,37,1106
221,37,3783
222,38,675
223,38,3796
224,38,4135
225,38,4686
226,38,4880
227,38,8139
228,39,1039
229,39,1947
230,39,2775
231,39,3491
232,39,3675
233,39,5723
234,39,5773
235,40,1709
236,40,2776
237,40,5953
238,40,6666
239,40,7880
240,40,8158
241,40,9114
242,40,9117
243,41,7680
244,42,1564
245,42,6498
246,42,8521
247,43,481
248,43,796
249,43,1501
250,43,1907
251,43,5144
252,43,5802
253,43,6959
254,43,8370
255,44,8557
256,45,5187
257,45,6861
258,46,1200
259,46,2787
260,46,2873
261,46,6640
262,46,7021
263,46,7272
264,46,7819
265,47,1921
266,47,4303
267,47,5339
268,48,187
269,48,5198
270,48,5356
271,48,5785
272,48,9049
273,49,293
274,49,2211
275,49,2385
276,49,5907
277,49,6907
278,49,7748
279,49,7901
280,49,8014
281,49,8294
282,49,8331
283,49,8352
284,50,1210
285,50,5488
286,50,6119
287,50,8883
288,51,2101
289,51,2342
290,51,2529
291,52,2557
292,53,615
293,53,1307
294,53,2319
295,53,2708
296,53,2992
297,53,3166
298,53,3376
299,53,3690
300,53,3725
301,53,4127
302,53,4173
303,53,5307
304,53,5561
305,53,6324
306,53,7006
307,53,8315
308,53,8975
309,54,4247
310,54,4694
311,54,5902
312,54,8556
313,55,2565
314,55,2891
315,55,3319
316,55,3683
317,55,3779
318,55,7991
319,56,1721
320,56,4180
321,56,4696
322,56,6115
323,56,7330
324,57,2258
325,57,2432
326,57,3437
327,57,6888
328,57,7032
329,57,8097
330,58,1283
331,58,2542
332,58,6460
333,59,1061
334,59,6665
335,59,7658
336,59,7931
337,59,8434
338,60,1531
339,60,1650
340,60,2022
341,60,8219
342,61,658
343,61,1797
344,61,3536
345,61,4290
346,61,5910
347,61,7830
348,61,7937
349,61,8217
350,62,1168
351,62,1793
352,62,1990
353,62,2774
354,62,3732
355,63,1327
356,63,3030
357,63,4045
358,63,5242
359,63,6378
360,63,6651
361,63,6774
362,64,1210
363,64,5488
364,64,6119
365,64,8883
366,65,1126
367,65,4538
368,65,5531
369,65,6443
370,65,8496
371,66,2603
372,66,7831
373,66,8411
374,66,9135
375,67,1590
376,67,5622
377,67,6768
378,67,7555
379,67,7981
380,68,2132
381,68,8474
382,68,8755
383,69,573
384,69,1234
385,69,1661
386,69,2238
387,69,5183
388,69,5816
389,70,593
390,70,638
391,70,1304
392,70,3900
393,70,5249
394,70,5623
395,71,134
396,71,427
397,71,1211
398,71,5848
399,71,6299
400,71,6908
401,71,7037
402,71,7314
403,71,7382
404,71,7465
405,71,7600
406,71,9035
407,71,9050
408,72,1905
409,72,4171
410,72,8583
411,73,801
412,73,3815
413,73,7979
414,73,8369
415,73,8688
416,73,9147
417,74,1461
418,74,1596
419,74,2028
420,74,3586
421,74,4012
422,74,4081
423,74,4319
424,74,4432
425,74,8584
426,75,572
427,75,1737
428,75,4277
429,75,4504
430,75,5184
431,75,7041
432,75,7470
433,75,8122
434,76,156
435,76,2458
436,76,5974
437,76,8154
438,77,579
439,77,1611
440,77,2762
441,77,3872
442,77,3878
443,77,5138
444,77,5393
445,77,5562
446,77,5564
447,77,6800
448,77,7864
449,77,8562
450,77,8870
451,78,2126
452,79,2142
453,79,3595
454,79,5911
455,79,7045
456,79,8232
457,80,2666
458,80,3986
459,80,7207
460,80,7612
461,80,9025
462,81,3258
463,81,3904
464,81,5572
465,81,6393
466,81,8237
467,81,8779
468,82,3346
469,82,7572
470,82,7943
471,83,3299
472,83,4253
473,83,5240
474,83,6736
475,83,7134
476,84,826
477,84,1430
478,84,9239
479,85,437
480,85,822
481,85,1431
482,85,1546
483,85,2125
484,85,6008
485,85,8650
486,86,2504
487,86,5488
488,86,6119
489,86,6291
490,87,438
491,87,827
492,87,1234
493,87,1262
494,87,2238
495,87,5678
496,87,8250
497,88,150
498,88,781
499,88,3996
500,88,5626
501,88,5763
502,88,5920
503,88,6684
504,88,7323
505,88,7324
506,88,7325
507,88,7940
508,88,9136
509,89,4543
510,89,5701
511,89,5985
512,89,7044
513,89,7474
514,90,1448
515,90,6415
516,90,8346
517,90,8348
518,91,601
519,91,966
520,91,978
521,91,1290
522,91,3083
523,91,5736
524,91,5970
525,91,5972
526,91,7010
527,92,3723
528,92,3953
529,92,4285
530,92,5228
531,92,7063
532,92,7764
533,92,7851
534,93,2879
535,93,3907
536,93,6797
537,93,7482
538,93,8256
539,94,442
540,94,3834
541,94,5677
542,94,7551
543,95,200
544,95,485
545,95,706
546,95,3159
547,95,5389
548,95,7084
549,96,4306
550,96,6301
551,96,7559
552,96,8326
553,97,1147
554,97,2422
555,97,3377
556,97,5468
557,97,5955
558,97,7409
559,98,284
560,98,4257
561,98,4578
562,98,5235
563,98,8276
564,99,1783
565,99,2744
566,99,8589
567,100,101
568,100,507
569,100,2743
570,100,2745
571,100,8589
572,101,507
573,101,2743
574,101,2745
575,101,8589
576,102,1669
577,102,2029
578,102,2436
579,102,7469
580,102,9169
581,103,1351
582,103,3204
583,103,7912
584,103,7932
585,103,7935
586,104,1802
587,104,2229
588,104,4591
589,104,5615
590,105,621
591,105,999
592,105,4514
593,106,497
594,106,2960
595,106,4543
596,106,5926
597,107,1397
598,107,2079
599,107,3209
600,107,3661
601,107,4355
602,107,4631
603,107,5718
604,107,5851
605,107,6205
606,107,6600
607,107,7503
608,107,7866
609,107,8266
610,107,8442
611,108,2623
612,108,2647
613,108,5917
614,108,8267
615,109,3023
616,109,4361
617,109,6825
618,109,8408
619,109,8482
620,109,8608
621,110,1184
622,110,3395
623,110,7053
624,111,5678
625,111,6911
626,111,7260
627,111,7596
628,111,8250
629,112,813
630,112,2988
631,112,5744
632,112,7990
633,113,2062
634,113,5347
635,114,1373
636,114,2977
637,114,4467
638,114,6977
639,114,7585
640,115,912
641,115,2249
642,115,5302
643,115,8242
644,116,1294
645,116,1923
646,116,4054
647,116,8505
648,116,8901
649,117,3132
650,117,9288
651,118,4772
652,118,8199
653,118,8211
654,118,9032
655,119,4253
656,119,6318
657,119,6736
658,119,7134
659,120,6083
660,120,8797
661,121,1472
662,121,2844
663,121,2925
664,121,3067
665,121,3650
666,121,4067
667,121,4084
668,121,4169
669,121,4478
670,121,6057
671,121,6833
672,121,7567
673,122,793
674,122,1229
675,122,3405
676,122,5506
677,122,6976
678,122,9139
679,123,4571
680,123,4655
681,123,5603
682,123,8593
683,124,3901
684,124,5613
685,124,5625
686,124,7755
687,124,7871
688,124,8703
689,125,2605
690,125,2700
691,125,2748
692,125,2890
693,125,3077
694,125,3635
695,125,3852
696,125,5248
697,125,5883
698,125,6418
699,125,6537
700,125,6587
701,125,7239
702,126,1565
703,126,2008
704,126,2009
705,126,3527
706,126,4750
707,126,5814
708,126,6989
709,127,567
710,127,1822
711,127,2876
712,127,2950
713,127,3311
714,127,4003
715,127,4491
716,127,7621
717,127,8469
718,128,499
719,128,983
720,128,2015
721,128,3393
722,128,5237
723,128,5588
724,128,6950
725,129,574
726,129,689
727,129,1726
728,129,1739
729,129,2900
730,129,3007
731,129,3265
732,129,3316
733,129,3669
734,129,4866
735,129,5378
736,129,6109
737,129,6958
738,129,6961
739,129,7250
740,129,7380
741,129,7643
742,129,7942
743,129,9247
744,130,1498
745,130,2163
746,130,2612
747,130,2689
748,130,4270
749,130,4521
750,130,7965
751,130,9031
752,130,9153
753,131,842
754,131,2842
755,131,3373
756,131,6701
757,131,7087
758,131,7692
759,132,892
760,132,1730
761,132,2176
762,132,3352
763,132,3518
764,132,7897
765,132,8290
766,133,760
767,133,2101
768,133,2102
769,133,2342
770,133,2529
771,133,9157
772,134,340
773,134,475
774,134,799
775,134,3129
776,134,4411
777,134,6299
778,134,6362
779,134,6559
780,134,7037
781,134,7465
782,134,8452
783,134,8992
784,135,295
785,135,639
786,135,2136
787,135,2514
788,135,4137
789,135,5824
790,135,6881
791,135,7781
792,135,7791
793,136,826
794,136,1430
795,136,9239
796,137,228
797,137,229
798,137,230
799,137,735
800,137,1360
801,137,1529
802,137,2052
803,137,2544
804,137,2872
805,137,3156
806,137,3532
807,137,3563
