node,label
0,2055.0
1,2059.0
2,2059.0
3,2059.0
4,2059.0
5,2059.0
6,2055.0
7,2059.0
8,2059.0
9,2059.0
10,2059.0
11,2059.0
12,2058.0
13,2055.0
14,2059.0
15,2058.0
16,2059.0
17,2059.0
18,2059.0
19,2059.0
20,2059.0
21,2059.0
22,2059.0
23,2059.0
24,2059.0
25,2059.0
26,2059.0
27,2058.0
28,2059.0
29,2059.0
30,2059.0
31,2059.0
32,2059.0
33,2059.0
34,2059.0
35,2059.0
36,2059.0
37,2059.0
38,2055.0
39,2059.0
40,2059.0
41,2059.0
42,2059.0
43,2059.0
44,2059.0
45,2059.0
46,2059.0
47,2059.0
48,2059.0
49,2059.0
50,2059.0
51,2059.0
52,2059.0
53,2059.0
54,2059.0
55,2059.0
56,2059.0
57,2055.0
58,2058.0
59,2059.0
60,2059.0
61,2059.0
62,2059.0
63,2059.0
64,2059.0
65,2059.0
66,2055.0
67,2059.0
68,2055.0
69,2055.0
70,2059.0
71,2055.0
72,2055.0
73,2059.0
74,2059.0
75,2059.0
76,2055.0
77,2059.0
78,2059.0
79,2059.0
80,2059.0
81,2059.0
82,2058.0
83,2059.0
84,2055.0
85,2059.0
86,2059.0
87,2059.0
88,2058.0
89,2059.0
90,2059.0
91,2059.0
92,2055.0
93,2059.0
94,2059.0
95,2059.0
96,2059.0
97,2059.0
98,2059.0
99,1529.0
100,2059.0
101,1712.0
102,349.0
103,2058.0
104,2055.0
105,2055.0
106,2055.0
107,2058.0
108,2059.0
109,2035.0
110,2055.0
111,2035.0
112,2059.0
113,2055.0
114,2059.0
115,2059.0
116,2058.0
117,2059.0
118,2059.0
119,2059.0
120,2059.0
121,2055.0
122,2055.0
123,2059.0
124,2059.0
125,2059.0
126,2059.0
127,2059.0
128,2059.0
129,2059.0
130,2058.0
131,2059.0
132,2058.0
133,2058.0
134,2059.0
135,2059.0
136,2059.0
137,2055.0
138,2059.0
139,2059.0
140,2059.0
141,2055.0
142,2059.0
143,2059.0
144,2055.0
145,2055.0
146,2059.0
147,2055.0
148,2059.0
149,2059.0
150,2059.0
151,2055.0
152,2059.0
153,2059.0
154,2059.0
155,2055.0
156,2055.0
157,2059.0
158,2055.0
159,2059.0
160,2059.0
161,2055.0
162,2059.0
163,2035.0
164,2055.0
165,2055.0
166,2055.0
167,2059.0
168,2059.0
169,2059.0
170,2059.0
171,2055.0
172,2059.0
173,2059.0
174,2059.0
175,2058.0
176,2059.0
177,2059.0
178,2059.0
179,2059.0
180,2059.0
181,2059.0
182,2059.0
183,2059.0
184,2059.0
185,2059.0
186,2059.0
187,2059.0
188,2055.0
189,2055.0
190,2055.0
191,2059.0
192,2055.0
193,2055.0
194,2059.0
195,2055.0
196,2059.0
197,2055.0
198,2059.0
199,2059.0
200,2059.0
201,2055.0
202,2055.0
203,2059.0
204,2059.0
205,2055.0
206,2055.0
207,2059.0
208,2055.0
209,2055.0
210,2059.0
211,2059.0
212,2055.0
213,2055.0
214,2059.0
215,2055.0
216,2055.0
217,2055.0
218,2055.0
219,2055.0
220,2055.0
221,2059.0
222,2055.0
223,2059.0
224,2059.0
225,2055.0
226,2059.0
227,2055.0
228,2055.0
229,2055.0
230,2058.0
231,2059.0
232,2059.0
233,2058.0
234,2058.0
235,2058.0
236,2058.0
237,2050.0
238,2020.0
239,1840.0
240,2052.0
241,1265.0
242,1297.0
243,799.0
244,1062.0
245,1460.0
246,1785.0
247,628.0
248,2052.0
249,1961.0
250,1529.0
251,12.0
252,1529.0
253,2059.0
254,2059.0
255,2059.0
256,2059.0
257,2059.0
258,2059.0
259,2059.0
260,2059.0
261,2059.0
262,2059.0
263,2059.0
264,2059.0
265,2059.0
266,2059.0
267,2059.0
268,2059.0
269,2059.0
270,2059.0
271,2059.0
272,2058.0
273,2059.0
274,2059.0
275,2059.0
276,2059.0
277,2059.0
278,2059.0
279,2059.0
280,2059.0
281,2055.0
282,2059.0
283,2059.0
284,2055.0
285,2059.0
286,2059.0
287,2059.0
288,2059.0
289,2059.0
290,2059.0
291,2059.0
292,2059.0
293,2059.0
294,2059.0
295,2059.0
296,2059.0
297,2055.0
298,2059.0
299,2059.0
300,2059.0
301,2059.0
302,2059.0
